instance_name,stretch_index,lower_bound
jupiter/graph_1205.txt,2,2
jupiter/graph_1207.txt,2,2
jupiter/graph_1209.txt,2,2
jupiter/graph_1212.txt,2,2
jupiter/graph_1216.txt,2,2
jupiter/graph_1217.txt,3,2
jupiter/graph_1218.txt,3,3
jupiter/graph_1219.txt,3,2
jupiter/graph_1221.txt,3,3
jupiter/graph_1223.txt,3,2
jupiter/graph_1224.txt,3,2
jupiter/graph_1225.txt,2,2
jupiter/graph_1227.txt,3,3
jupiter/graph_1229.txt,3,2
jupiter/graph_1230.txt,3,2
jupiter/graph_1232.txt,2,2
jupiter/graph_1234.txt,2,2
jupiter/graph_1238.txt,2,2
jupiter/graph_1239.txt,3,2
jupiter/graph_1241.txt,3,2
jupiter/graph_1242.txt,3,2
jupiter/graph_1243.txt,3,2
jupiter/graph_1245.txt,2,2
jupiter/graph_1246.txt,3,2
jupiter/graph_1248.txt,3,2
jupiter/graph_1249.txt,3,2
jupiter/graph_1252.txt,3,2
jupiter/graph_1255.txt,2,2
jupiter/graph_1256.txt,3,2
jupiter/graph_1257.txt,3,2
jupiter/graph_1258.txt,3,2
jupiter/graph_1259.txt,2,2
jupiter/graph_1262.txt,3,2
jupiter/graph_1263.txt,3,2
jupiter/graph_1264.txt,3,2
jupiter/graph_1265.txt,2,2
jupiter/graph_1266.txt,3,2
jupiter/graph_1270.txt,3,2
jupiter/graph_1271.txt,2,2
jupiter/graph_1272.txt,3,2
jupiter/graph_1274.txt,3,2
jupiter/graph_1275.txt,2,2
jupiter/graph_1278.txt,2,2
jupiter/graph_1279.txt,3,2
jupiter/graph_1280.txt,3,2
jupiter/graph_1283.txt,2,2
jupiter/graph_1285.txt,2,2
jupiter/graph_1286.txt,2,2
jupiter/graph_1287.txt,3,2
jupiter/graph_1288.txt,3,2
jupiter/graph_1289.txt,3,2
jupiter/graph_1290.txt,3,2
jupiter/graph_1291.txt,2,2
jupiter/graph_1293.txt,3,2
jupiter/graph_1297.txt,3,2
jupiter/graph_1298.txt,3,3
jupiter/graph_1299.txt,2,2
jupiter/graph_1301.txt,3,3
jupiter/graph_1302.txt,3,2
jupiter/graph_1303.txt,3,2
jupiter/graph_1306.txt,2,2
jupiter/graph_1307.txt,3,2
jupiter/graph_1308.txt,2,2
jupiter/graph_1312.txt,3,2
jupiter/graph_1313.txt,3,2
jupiter/graph_1315.txt,3,2
jupiter/graph_1317.txt,3,2
jupiter/graph_1320.txt,3,2
jupiter/graph_1324.txt,3,2
jupiter/graph_1326.txt,3,2
jupiter/graph_1328.txt,3,3
jupiter/graph_1329.txt,3,2
jupiter/graph_1330.txt,3,2
jupiter/graph_1332.txt,3,2
jupiter/graph_1333.txt,2,2
jupiter/graph_1335.txt,3,2
jupiter/graph_1339.txt,2,2
jupiter/graph_1340.txt,2,2
jupiter/graph_1342.txt,3,2
jupiter/graph_1344.txt,2,2
jupiter/graph_1347.txt,2,2
jupiter/graph_1348.txt,2,2
jupiter/graph_1349.txt,3,2
jupiter/graph_1350.txt,3,2
jupiter/graph_1351.txt,2,2
jupiter/graph_1352.txt,3,2
jupiter/graph_1357.txt,3,2
jupiter/graph_1359.txt,3,2
jupiter/graph_1360.txt,3,3
jupiter/graph_1364.txt,3,2
jupiter/graph_1366.txt,2,2
jupiter/graph_1367.txt,3,3
jupiter/graph_1368.txt,2,2
jupiter/graph_1371.txt,3,2
jupiter/graph_1372.txt,3,2
jupiter/graph_1373.txt,3,2
jupiter/graph_1374.txt,2,2
jupiter/graph_1375.txt,3,3
jupiter/graph_1376.txt,3,2
jupiter/graph_1378.txt,3,2
jupiter/graph_1381.txt,3,2
jupiter/graph_1384.txt,3,2
jupiter/graph_1385.txt,3,2
jupiter/graph_1386.txt,3,2
jupiter/graph_1387.txt,3,2
jupiter/graph_1388.txt,3,3
jupiter/graph_1390.txt,3,2
jupiter/graph_1391.txt,3,2
jupiter/graph_1393.txt,3,2
jupiter/graph_1394.txt,3,2
jupiter/graph_1395.txt,2,2
jupiter/graph_1396.txt,2,2
jupiter/graph_1400.txt,2,2
jupiter/graph_1401.txt,3,2
jupiter/graph_1403.txt,2,2
jupiter/graph_1404.txt,2,2
jupiter/graph_1405.txt,2,2
jupiter/graph_1406.txt,3,2
jupiter/graph_1409.txt,3,2
jupiter/graph_1410.txt,3,2
jupiter/graph_1411.txt,3,3
jupiter/graph_1412.txt,3,2
jupiter/graph_1413.txt,3,2
jupiter/graph_1414.txt,3,2
jupiter/graph_1415.txt,2,2
jupiter/graph_1417.txt,3,3
jupiter/graph_1418.txt,2,2
jupiter/graph_1419.txt,2,2
jupiter/graph_1420.txt,2,2
jupiter/graph_1422.txt,3,2
jupiter/graph_1423.txt,2,2
jupiter/graph_1425.txt,2,2
jupiter/graph_1426.txt,2,2
jupiter/graph_1429.txt,3,2
jupiter/graph_1430.txt,3,2
jupiter/graph_1432.txt,3,2
jupiter/graph_1433.txt,3,2
jupiter/graph_1434.txt,3,2
jupiter/graph_1438.txt,3,2
jupiter/graph_1439.txt,3,2
jupiter/graph_1440.txt,3,2
jupiter/graph_1441.txt,3,2
jupiter/graph_1442.txt,3,2
jupiter/graph_1446.txt,2,2
jupiter/graph_1449.txt,3,2
jupiter/graph_1452.txt,3,3
jupiter/graph_1454.txt,3,2
jupiter/graph_1455.txt,2,2
jupiter/graph_1456.txt,2,2
jupiter/graph_1459.txt,3,2
jupiter/graph_1461.txt,3,2
jupiter/graph_1462.txt,3,2
jupiter/graph_1463.txt,3,3
jupiter/graph_1464.txt,2,2
jupiter/graph_1465.txt,2,2
jupiter/graph_1466.txt,2,2
jupiter/graph_1467.txt,3,3
jupiter/graph_1470.txt,2,2
jupiter/graph_1471.txt,2,2
jupiter/graph_1473.txt,3,2
jupiter/graph_1474.txt,3,2
jupiter/graph_1475.txt,2,2
jupiter/graph_1477.txt,3,3
jupiter/graph_1478.txt,3,3
jupiter/graph_1479.txt,2,2
jupiter/graph_1480.txt,3,2
jupiter/graph_1482.txt,3,2
jupiter/graph_1483.txt,3,2
jupiter/graph_1484.txt,3,2
jupiter/graph_1485.txt,3,2
jupiter/graph_1487.txt,3,2
jupiter/graph_1492.txt,2,2
jupiter/graph_1493.txt,3,2
jupiter/graph_1494.txt,2,2
jupiter/graph_1495.txt,2,2
jupiter/graph_1497.txt,2,2
jupiter/graph_1498.txt,2,2
jupiter/graph_1502.txt,3,2
jupiter/graph_1503.txt,3,2
jupiter/graph_1504.txt,3,2
jupiter/graph_1506.txt,3,3
jupiter/graph_1507.txt,3,2
jupiter/graph_1510.txt,2,2
jupiter/graph_1511.txt,3,2
jupiter/graph_1512.txt,3,2
jupiter/graph_1513.txt,3,3
jupiter/graph_1514.txt,3,2
jupiter/graph_1516.txt,3,2
jupiter/graph_1518.txt,3,2
jupiter/graph_1521.txt,2,2
jupiter/graph_1525.txt,2,2
jupiter/graph_1527.txt,2,2
jupiter/graph_1529.txt,3,2
jupiter/graph_1531.txt,3,2
jupiter/graph_1532.txt,2,2
